Time,Signal
111,-0.612231474
111.25,-0.612231474
111.5,-0.58868411
111.75,-0.612231474
112,-0.58868411
112.25,-0.58868411
112.5,-0.58868411
112.75,-0.706420932
113,-0.824157754
113.25,-0.706420932
113.5,-0.58868411
113.75,-0.58868411
114,-0.58868411
114.25,-0.58868411
114.5,-0.58868411
114.75,-0.58868411
115,-0.58868411
115.25,-0.58868411
115.5,-0.565136746
115.75,-0.58868411
116,-0.612231474
116.25,-0.706420932
116.5,-0.847705118
116.75,-0.729968296
117,-0.58868411
117.25,-0.565136746
117.5,-0.58868411
117.75,-0.612231474
118,-0.58868411
118.25,-0.58868411
118.5,-0.58868411
118.75,-0.58868411
119,-0.58868411
119.25,-0.58868411
119.5,-0.58868411
119.75,-0.565136746
120,-0.58868411
120.25,-0.58868411
120.5,-0.58868411
120.75,-0.565136746
121,-0.58868411
121.25,-0.58868411
121.5,-0.58868411
121.75,-0.612231474
122,-0.58868411
122.25,-0.58868411
122.5,-0.58868411
122.75,-0.58868411
123,-0.612231474
123.25,-0.612231474
123.5,-0.612231474
123.75,-0.612231474
124,-0.612231474
124.25,-0.612231474
124.5,-0.612231474
124.75,-0.612231474
125,-0.58868411
125.25,-0.635778839
125.5,-0.612231474
125.75,-0.612231474
126,-0.58868411
126.25,-0.612231474
126.5,-0.612231474
126.75,-0.58868411
127,-0.612231474
127.25,-0.635778839
127.5,-0.612231474
127.75,-0.612231474
128,-0.612231474
128.25,-0.612231474
128.5,-0.58868411
128.75,-0.612231474
129,-0.612231474
129.25,-0.612231474
129.5,-0.659326203
129.75,-0.635778839
130,-0.612231474
130.25,-0.612231474
130.5,-0.612231474
130.75,-0.58868411
131,-0.612231474
131.25,-0.659326203
131.5,-0.659326203
131.75,-0.612231474
132,-0.659326203
132.25,-0.612231474
132.5,-0.58868411
132.75,-0.612231474
133,-0.612231474
133.25,-0.58868411
133.5,-0.58868411
133.75,-0.58868411
134,-0.565136746
134.25,-0.518042017
134.5,-0.329663102
134.75,-0.188378915
135,-0.094189458
135.25,-0.094189458
135.5,0
135.75,0.188378915
136,0.023547364
136.25,0.21192628
136.5,0.329663102
136.75,0.37675783
137,0.423852559
137.25,0.447399924
137.5,0.447399924
137.75,0.423852559
138,0.423852559
138.25,0.400305195
138.5,0.37675783
